CRIME_CATEGORY,2020,2024,COUNTY
Residence,"2,944","2,509",Alameda
Night,"1,132","1,045",Alameda
Day,"1,041","1,090",Alameda
Unknown,771,374,Alameda
Non-Residence,"4,090","5,213",Alameda
Night,"2,152","3,045",Alameda
Day,880,"1,528",Alameda
Unknown,"1,058",640,Alameda
Motor Vehicle Theft,"14,456","20,121",Alameda
Automotive,"12,452","18,118",Alameda
Trucks and Buses,"1,425","1,042",Alameda
Other,579,961,Alameda
Larceny-Theft,"36,803","42,833",Alameda
Type,,,Alameda
Pocket-Picking,701,280,Alameda
Purse-Snatching,236,251,Alameda
Shoplifting,"3,232","6,362",Alameda
From Motor Vehicle,"16,081","15,850",Alameda
Motor Vehicle Accessories,"5,614","8,923",Alameda
Bicycles,"1,394","1,056",Alameda
From Building,"1,330","1,292",Alameda
Coin Operated Machine,33,64,Alameda
Other,"8,182","8,755",Alameda
Value,,,Alameda
Over $400,"16,327",,Alameda
Over $200,0,"21,282",Alameda
$200 through $400,"4,115",,Alameda
$50 through $199,"4,571","4,448",Alameda
Under $50,"11,790","17,103",Alameda
Arson,495,395,Alameda
Structural Property,232,76,Alameda
Mobile Property,194,95,Alameda
Other Property,69,224,Alameda
