ZIP_CODE,HUD_AREA_CODE,CITY_STATE,RENT_STUDIO,RENT_STUDIO_90,RENT_STUDIO_110,RENT_1BD,RENT_1BD_90,RENT_1BD_110,RENT_2BD,RENT_2BD_90,RENT_2BD_110,RENT_3BD,RENT_3BD_90,RENT_3BD_110,RENT_4BD,RENT_4BD_90,RENT_4BD_110,GEO_ID,MEDIAN_INCOME_HOUSEHOLD_EST,TOTAL_HOUSEHOLDS_EST
94612,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2250,2025,2475,2510,2259,2761,3060,2754,3366,3910,3519,4301,4640,4176,5104,860Z200US94612,77069,10164
94618,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2520,2268,2772,2810,2529,3091,3430,3087,3773,4390,3951,4829,5200,4680,5720,860Z200US94618,205552,7341
94619,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2000,1800,2200,2230,2007,2453,2720,2448,2992,3480,3132,3828,4120,3708,4532,860Z200US94619,129879,9875
94621,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1750,1575,1925,1990,1791,2189,2420,2178,2662,3090,2781,3399,3670,3303,4037,860Z200US94621,53106,10494
94702,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1820,1638,2002,2020,1818,2222,2470,2223,2717,3160,2844,3476,3740,3366,4114,860Z200US94702,99135,7419
94703,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2040,1836,2244,2280,2052,2508,2780,2502,3058,3550,3195,3905,4210,3789,4631,860Z200US94703,108922,8732
94704,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1960,1764,2156,2180,1962,2398,2660,2394,2926,3400,3060,3740,4030,3627,4433,860Z200US94704,52105,8262
94705,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2110,1899,2321,2350,2115,2585,2870,2583,3157,3670,3303,4037,4350,3915,4785,860Z200US94705,163254,5823
94706,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2240,2016,2464,2500,2250,2750,3050,2745,3355,3900,3510,4290,4620,4158,5082,860Z200US94706,136961,8031
94707,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2190,1971,2409,2440,2196,2684,2980,2682,3278,3810,3429,4191,4520,4068,4972,860Z200US94707,196591,5188
94708,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2740,2466,3014,3050,2745,3355,3720,3348,4092,4760,4284,5236,5640,5076,6204,860Z200US94708,229004,4754
94709,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2060,1854,2266,2290,2061,2519,2800,2520,3080,3580,3222,3938,4240,3816,4664,860Z200US94709,95223,5310
94710,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2320,2088,2552,2580,2322,2838,3150,2835,3465,4030,3627,4433,4770,4293,5247,860Z200US94710,118007,3744
94801,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1750,1575,1925,1990,1791,2189,2420,2178,2662,3090,2781,3399,3670,3303,4037,860Z200US94801,75786,10421
94803,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2020,1818,2222,2240,2016,2464,2740,2466,3014,3500,3150,3850,4150,3735,4565,860Z200US94803,116075,9500
94804,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1750,1575,1925,1990,1791,2189,2420,2178,2662,3090,2781,3399,3670,3303,4037,860Z200US94804,86430,16080
94805,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1980,1782,2178,2200,1980,2420,2690,2421,2959,3440,3096,3784,4080,3672,4488,860Z200US94805,114191,5727
94806,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1850,1665,2035,2060,1854,2266,2510,2259,2761,3210,2889,3531,3800,3420,4180,860Z200US94806,82818,20304
95219,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1490,1341,1639,1730,1557,1903,2110,1899,2321,2750,2475,3025,3320,2988,3652,860Z200US95219,105300,11244
95377,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1930,1737,2123,2090,1881,2299,2610,2349,2871,3630,3267,3993,4380,3942,4818,860Z200US95377,155984,9612
95391,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1930,1737,2123,2090,1881,2299,2610,2349,2871,3630,3267,3993,4380,3942,4818,860Z200US95391,171510,6630
94002,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2720,2448,2992,3260,2934,3586,3950,3555,4345,5050,4545,5555,5230,4707,5753,860Z200US94002,204573,10608
94005,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2390,2151,2629,2870,2583,3157,3470,3123,3817,4430,3987,4873,4590,4131,5049,860Z200US94005,151593,1867
94010,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2520,2268,2772,3020,2718,3322,3660,3294,4026,4680,4212,5148,4850,4365,5335,860Z200US94010,191758,16252
